replicate,rank,top-100,top-50,R2_k-100,R2_k-50
1,1,0.03,0.0,-0.041045344150737684,-0.07911778890376153
1,2,0.02,0.0,-0.006989306457857891,0.013805693067257763
1,3,0.01,0.0,-0.04608731812436351,-0.06471346032789294
2,1,0.02,0.0,-0.05407567741431207,-0.0948609752778633
2,2,0.03,0.04,-0.029057696170954772,-0.2402220911977455
2,3,0.06,0.0,0.007725094960520984,0.06283572577974916
3,1,0.07,0.06,0.0036814743911640635,0.013206500921206343
3,2,0.06,0.02,0.0477873149963316,0.09804893878465315
3,3,0.04,0.04,0.08135260856572268,0.1470688517801828
4,1,0.04,0.04,-0.2691692976319193,-0.14698327827058222
4,2,0.02,0.02,-0.05807175114696128,-0.0011041340526050103
4,3,0.02,0.02,0.058189041372490924,0.1394762289277166
5,1,0.05,0.02,-0.14289672249192797,-0.26639901470513117
5,2,0.02,0.02,-0.0991294900660129,-0.04743391787475204
5,3,0.03,0.06,-0.06516731488388716,0.009143276007159251
