replicate,rank,top-100,top-50,R2_k-100,R2_k-50
1,1,0.07,0.06,-0.3718028937784006,-0.28481534099663497
1,2,0.1,0.08,0.040279947617644196,0.1456599484784865
1,3,0.07,0.12,0.110479274395332,0.21104318059216154
1,4,0.08,0.08,0.1339792692519316,0.2857245265510072
1,5,0.1,0.08,-0.003276741758129864,0.141537254860997
1,6,0.12,0.14,0.07841178637561608,0.14617806667651256
1,7,0.13,0.14,0.16359334496620892,0.23163733103933604
1,8,0.12,0.16,0.20421493687077996,0.3109019028357015
1,9,0.13,0.18,0.13399091967862042,0.06217481390793278
1,10,0.14,0.2,0.21515740265058603,0.25735037665724947
1,11,0.17,0.18,0.12367423736466887,0.14718666097132405
1,12,0.12,0.18,0.17825986617843914,0.17347849135872373
1,13,0.13,0.16,0.18669418088499445,0.16065343446523273
1,14,0.14,0.18,0.20191057874516005,0.08393138692992586
1,15,0.09,0.16,0.1435079199570679,0.08881350150184142
1,16,0.11,0.16,0.2619037491996844,0.0021922142431909375
1,17,0.1,0.14,0.1968583143743151,0.08111714720301277
1,18,0.13,0.16,0.08543334323616236,0.1499213662852773
1,19,0.1,0.12,0.15615517572261395,0.024906604174081304
1,20,0.12,0.12,0.13916030900006893,0.1475136048463629
1,21,0.11,0.12,-0.009700714573091629,-0.055875606805803724
1,22,0.14,0.14,0.06163807066411919,-0.09886320419523154
1,23,0.11,0.12,0.14006309671106565,-0.04517060808781159
1,24,0.14,0.12,0.09066361756414709,0.07372390688644648
1,25,0.13,0.12,0.12983505622043667,0.1649856333523838
1,26,0.12,0.12,0.16569005691930783,0.0465912959404855
1,27,0.13,0.14,0.164579604960426,0.10465239771235013
1,28,0.13,0.14,0.13699221424381414,0.20604954115607754
1,29,0.13,0.14,0.22238629261972576,0.25116969398314737
1,30,0.15,0.14,0.047053178641459636,0.15750984498786047
1,31,0.11,0.14,0.09931018801984604,-0.06123089359859302
1,32,0.13,0.12,0.07551978696787498,-0.233243655391695
1,33,0.11,0.14,-0.07154313662558875,-0.14133264233204823
1,34,0.1,0.14,0.03792630509045658,0.015006942743524432
1,35,0.1,0.14,0.025666495391920896,-0.3506184702102928
1,36,0.12,0.14,-0.0011550564593312274,-0.23939116707230945
1,37,0.11,0.14,-0.033373167043557084,-0.43974296248842726
1,38,0.12,0.12,0.08699618273773235,-0.3551165398929468
1,39,0.15,0.16,-0.09216495316215445,-0.32393790417930735
1,40,0.17,0.12,0.04688969700455681,-0.14787095555906715
1,41,0.17,0.16,-0.1436186432166655,-0.31786400848027574
1,42,0.15,0.14,0.0714318385791255,-0.14545751291104914
1,43,0.16,0.18,-0.1996279042176623,-0.34407169039607255
1,44,0.18,0.18,-0.03761427254088012,-0.5337837901689682
1,45,0.23,0.2,0.055007846023593765,-0.21697341482975196
1,46,0.23,0.2,-0.12864214326722423,-0.2983276219664883
1,47,0.21,0.2,-0.0646409064273763,-0.3228735064006045
1,48,0.21,0.22,-0.10135019939323153,-0.41909438708102753
1,49,0.22,0.18,-0.317544452277849,-0.11721617269112983
1,50,0.2,0.2,-0.12357398610701797,-0.3836638168843196
1,51,0.19,0.22,-0.23281637540492528,-0.32748494084671087
1,52,0.2,0.22,-0.23633552773723232,-0.14922258704035074
1,53,0.2,0.22,-0.09440246051846946,-0.7794987279790788
1,54,0.22,0.22,-0.32351272427729705,-0.6469078084018021
1,55,0.21,0.24,-0.164739735166189,-0.3874228887060349
1,56,0.22,0.24,-0.1464554083275149,-0.28832686757341097
1,57,0.21,0.22,-0.08777859303671565,-0.19121758457798954
1,58,0.22,0.24,-0.2087548470729177,-0.3923324937846482
1,59,0.22,0.24,-0.14883077546754864,-0.3599200440089909
1,60,0.22,0.24,-0.25390788057436,-0.39888813638304543
2,1,0.0,0.0,-0.2363636763257757,-0.11846744701243828
2,2,0.05,0.02,0.014350239040532564,0.03777954312160936
2,3,0.03,0.0,-0.11427470305203791,-0.11646608158011507
2,4,0.04,0.0,0.04183496115505925,0.13675490008383573
2,5,0.08,0.04,0.06374466418995828,0.11441885205394176
2,6,0.06,0.04,0.1498016392025997,0.11538439115698429
2,7,0.07,0.04,0.09878999517879983,-0.061047844320768485
2,8,0.1,0.08,0.1565951945039864,0.0629206312261974
2,9,0.12,0.1,0.01810246211037747,-0.09518103625912011
2,10,0.13,0.1,-0.10302525267698526,-0.1985992654993014
2,11,0.14,0.12,0.09189602178554934,-0.03003678906123919
2,12,0.15,0.14,0.07085165258049941,-0.06188632508312919
2,13,0.15,0.14,0.12196681171441781,0.1685766958164311
2,14,0.15,0.18,0.13640646033367987,-0.07988154479964127
2,15,0.14,0.14,0.16938792288825932,0.1461386133680722
2,16,0.14,0.16,-0.022439658662629203,-0.2064640318461941
2,17,0.16,0.16,0.0047329345784319354,-0.032101559654787115
2,18,0.16,0.18,0.11595327220325902,0.0009982115477743525
2,19,0.16,0.18,0.0024632977647238707,-0.4046068433245913
2,20,0.15,0.16,0.03695458318357869,-0.035901104445730914
2,21,0.16,0.12,-0.11784183804394299,-0.4769535697150509
2,22,0.15,0.12,-0.09731780709335336,0.04985949521299671
2,23,0.19,0.18,0.04565457291140218,-0.19760982750990252
2,24,0.14,0.18,0.13583819133124675,-0.2514016604343603
2,25,0.17,0.2,0.0339460233013269,-0.3649240206848514
2,26,0.18,0.2,0.1852213658827051,-0.2185099329581106
2,27,0.17,0.18,0.12398092163634211,0.06456967806442104
2,28,0.17,0.18,0.13302502053464982,0.1472856207712384
2,29,0.15,0.18,0.19314181880517522,0.08099350057783561
2,30,0.16,0.16,0.09149185900773538,0.2207906426120011
2,31,0.18,0.18,-0.11714372746141333,0.06231303986932757
2,32,0.16,0.18,0.09649407769579299,0.03215811977320038
2,33,0.18,0.18,-0.014435805205435637,-0.12783397105628214
2,34,0.16,0.2,0.09869390999983507,-0.022096261414246143
2,35,0.17,0.2,0.15793244715067845,-0.12381111544441437
2,36,0.15,0.16,0.10856532032682187,0.040801479448502986
2,37,0.17,0.2,0.09428606023956587,-0.1490981020282065
2,38,0.16,0.16,0.16329590173191832,-0.09626847188937404
2,39,0.16,0.16,0.04940061104872984,-0.20221275422250784
2,40,0.15,0.2,0.1605514833385362,-0.1982780200348151
2,41,0.16,0.18,0.09123445559990107,0.17749686371643159
2,42,0.16,0.18,-0.0801216672246361,-0.5986936234505322
2,43,0.17,0.2,0.05135813896645858,-0.28041261276264806
2,44,0.17,0.18,0.015395585954359414,-0.5974791454370147
2,45,0.15,0.18,-0.10210729602450419,-0.6250044722999641
2,46,0.16,0.18,0.03480731519704905,-0.17594894076781986
2,47,0.17,0.14,-0.15646085206294824,-0.23042988106609164
2,48,0.15,0.18,-0.06812419244182388,-0.7300803025583367
2,49,0.15,0.16,0.04407202108462438,-0.46398391459766497
2,50,0.16,0.16,0.06023901941757792,-0.33346968086626916
2,51,0.17,0.16,-0.044546223704851284,-0.3055395014642497
2,52,0.15,0.16,-0.13413396087000073,-0.7189483331819939
2,53,0.14,0.14,0.15920947037500244,-0.2987562218527502
2,54,0.13,0.14,0.16737249100875007,-0.4214243048241153
2,55,0.16,0.16,-0.08379763978419685,-0.09611425767413828
2,56,0.15,0.16,0.02594909338553253,-0.28534234216482024
2,57,0.19,0.16,-0.22558443321656663,-0.07313359495182681
2,58,0.21,0.22,-0.054887022699541044,-0.703455552515847
