,ids,SMILES
0,Z2002363111,CC[C@](O)(C(=O)N1CCC(C(=O)N2CCOCC2)CC1)c1cccc(Cl)c1
1,Z2002363111,CC[C@@](O)(C(=O)N1CCC(C(=O)N2CCOCC2)CC1)c1cccc(Cl)c1
2,Z2068103262,CC[C@](NC(=O)Cc1c(C)nn(C)c1C)(C(=O)[O-])c1ccc(Cl)cc1
3,Z2068103262,CC[C@@](NC(=O)Cc1c(C)nn(C)c1C)(C(=O)[O-])c1ccc(Cl)cc1
4,Z1983120562,COc1cc(S(=O)(=O)N[C@H](C)[C@@H]2CCOC2)c(Cl)cc1C(=O)[O-]
5,Z1983120562,COc1cc(S(=O)(=O)N[C@@H](C)[C@@H]2CCOC2)c(Cl)cc1C(=O)[O-]
6,Z1983120562,COc1cc(S(=O)(=O)N[C@H](C)[C@H]2CCOC2)c(Cl)cc1C(=O)[O-]
7,Z1983120562,COc1cc(S(=O)(=O)N[C@@H](C)[C@H]2CCOC2)c(Cl)cc1C(=O)[O-]
8,Z2384671295,N#Cc1cnc(NC[C@@H]2CC[C@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
9,Z2384671295,N#Cc1cnc(NC[C@H]2CC[C@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
10,Z2384671295,N#Cc1cnc(NC[C@@H]2CC[C@@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
11,Z2384671295,N#Cc1cnc(NC[C@H]2CC[C@@H](c3nc(C4CC4)n[nH]3)O2)c(F)c1
12,Z2596770048,O=C(N1C[C@H]2COC[C@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
13,Z2596770048,O=C(N1C[C@H]2COC[C@@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
14,Z2596770048,O=C(N1C[C@@H]2COC[C@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
15,Z2596770048,O=C(N1C[C@@H]2COC[C@@]2(C(=O)[O-])C1)C1(C2CC2)CCOCC1
16,Z3074709836,CC1CC(NS(=O)(=O)c2cc(F)ccc2NCC(=O)N(C)C)C1
17,Z3414205316,CC(=O)N1CC2(C1)[C@H](C(=O)N1CCc3ccccc3C1)CCS2(=O)=O
18,Z3414205316,CC(=O)N1CC2(C1)[C@@H](C(=O)N1CCc3ccccc3C1)CCS2(=O)=O
19,Z2219009435,CC(C)[C@@H]1CN(S(=O)(=O)c2cnn(C(C)C)c2)CCCO1
20,Z2219009435,CC(C)[C@H]1CN(S(=O)(=O)c2cnn(C(C)C)c2)CCCO1
21,Z2219356001,C[NH+]1CCC[C@]2(CC[NH+](CC(=O)Nc3ccc4c(c3)CCC4)C2)C1
22,Z2219356001,C[NH+]1CCC[C@@]2(CC[NH+](CC(=O)Nc3ccc4c(c3)CCC4)C2)C1
23,Z2090480435,Cc1ccc(CC(=O)N2CCN(c3snc(C)c3C#N)CC2)cc1
24,Z1192056447,CCCN(C[C@@H]1COc2ccccc2O1)c1ncnc2c1ncn2C
25,Z1192056447,CCCN(C[C@H]1COc2ccccc2O1)c1ncnc2c1ncn2C
26,Z2621967794,Nc1ncnc2c1ncn2CCC(=O)N[C@@H]1COc2ccccc2C1
27,Z2621967794,Nc1ncnc2c1ncn2CCC(=O)N[C@H]1COc2ccccc2C1
28,Z1032471986,CC(C)(C)c1ncc(NC(=O)N2CCOCC2)cn1
29,Z1510958660,CCn1nc(C(C)C)cc1C(=O)N[C@@H]1CCOC(C)(C)C1
30,Z1510958660,CCn1nc(C(C)C)cc1C(=O)N[C@H]1CCOC(C)(C)C1
31,Z646436336,Brc1cccc(C2(CNc3ncccn3)CCOCC2)c1
32,Z2159285518,CCOc1cnc(-c2noc(C3CCN(S(=O)(=O)NC)CC3)n2)cn1
33,Z2936916959,Cc1cc(C2OCCO2)c(C)cc1C[NH2+][C@@H]1CCOC(C)(C)C1
34,Z2936916959,Cc1cc(C2OCCO2)c(C)cc1C[NH2+][C@H]1CCOC(C)(C)C1
35,Z2945948375,Cc1nc([C@@H]2CCN(C(=O)Nc3ccc(C(=O)N(C)C)cc3)C2)no1
36,Z2945948375,Cc1nc([C@H]2CCN(C(=O)Nc3ccc(C(=O)N(C)C)cc3)C2)no1
37,Z3217386639,CCOc1ccc([C@H](CO)N(C)S(=O)(=O)c2cccc3cnccc23)cc1
38,Z3217386639,CCOc1ccc([C@@H](CO)N(C)S(=O)(=O)c2cccc3cnccc23)cc1
39,Z953549560,Cc1csc(=O)n1CCC(=O)N1CCC(CCN2CCOCC2)CC1
40,Z743389612,O=C([C@@H]1CC(c2ccccc2)=[NH+]O1)N1CCC[C@@H]1c1cccnc1
41,Z743389612,O=C([C@H]1CC(c2ccccc2)=[NH+]O1)N1CCC[C@@H]1c1cccnc1
42,Z743389612,O=C([C@@H]1CC(c2ccccc2)=[NH+]O1)N1CCC[C@H]1c1cccnc1
43,Z743389612,O=C([C@H]1CC(c2ccccc2)=[NH+]O1)N1CCC[C@H]1c1cccnc1
44,Z2438455621,Cn1cc(N2CCN(C(=O)C3C[C@H]4CCC[C@@H](C3)C4[NH3+])CC2)cn1
45,Z2438455621,Cn1cc(N2CCN(C(=O)C3C[C@H]4CCC[C@H](C3)C4[NH3+])CC2)cn1
