,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
0,Z2110198453,13477,Done,88.1,-13.1268,glide-grid_6eti,,,-13.1268,-0.630025,,,,,,,,,,,,,1.0,,,-13.1268,-55.586,-5.37964,-60.9656,1.51259,-98.0898
2,Z806429696,516,Done,85.33,-12.6629,glide-grid_6eti,,,-12.6629,0.0,,,,,,,,,,,,,1.0,,,-12.6629,-65.0392,-4.26878,-69.308,5.79071,-116.959
5,Z1024051690,9425,Done,51.39,-12.487,glide-grid_6eti,,,-12.487,-0.7,,,,,,,,,,,,,1.0,,,-12.487,-55.9362,-2.28385,-58.2201,14.3766,-94.2907
6,Z993687126,14512,Done,95.84,-12.4835,glide-grid_6eti,,,-12.4835,0.0,,,,,,,,,,,,,1.0,,,-12.4835,-50.3314,-4.5017,-54.8331,4.62997,-82.9726
7,Z1481919041,9615,Done,88.29,-12.4785,glide-grid_6eti,,,-12.4785,-1.33,,,,,,,,,,,,,1.0,,,-12.4785,-50.3548,-7.83714,-58.192,3.55289,-94.9518
8,Z1024049144,12019,Done,80.37,-12.3322,glide-grid_6eti,,,-12.3322,0.0,,,,,,,,,,,,,1.0,,,-12.3322,-64.3118,-1.58717,-65.8989,4.82124,-104.638
9,Z909179208,2689,Done,81.39,-12.1874,glide-grid_6eti,,,-12.1874,-1.20647,,,,,,,,,,,,,1.0,,,-12.1874,-53.0889,-7.1485,-60.2374,3.26214,-88.39
10,Z3396342599,6330,Done,81.06,-12.1792,glide-grid_6eti,,,-12.1792,0.0,,,,,,,,,,,,,1.0,,,-12.1792,-54.2453,-2.37945,-56.6247,5.91066,-100.423
11,Z1131324646,7261,Done,140.2,-12.0921,glide-grid_6eti,,,-12.0921,-1.33,,,,,,,,,,,,,1.0,,,-12.0921,-53.4766,-8.22953,-61.7062,10.8372,-93.737
12,Z1025736496,14012,Done,75.74,-12.0323,glide-grid_6eti,,,-12.0323,-0.678396,,,,,,,,,,,,,1.0,,,-12.0323,-55.0035,-5.14591,-60.1494,3.27959,-102.183
14,Z4401400510,4138,Done,109.24,-11.9436,glide-grid_6eti,,,-11.9436,-0.7,,,,,,,,,,,,,1.0,,,-11.9436,-53.734,-6.70784,-60.4419,9.7388,-98.8992
16,Z595378952,14123,Done,98.13,-11.9141,glide-grid_6eti,,,-11.9141,-0.7,,,,,,,,,,,,,1.0,,,-11.9141,-60.1138,-4.59483,-64.7087,8.80812,-101.766
18,Z1000940198,1799,Done,95.27,-11.822,glide-grid_6eti,,,-11.822,-0.7,,,,,,,,,,,,,1.0,,,-11.822,-54.6244,-5.3651,-59.9895,0.781825,-95.5
19,Z119313558,19451,Done,30.31,-11.7789,glide-grid_6eti,,,-11.7789,-0.7,,,,,,,,,,,,,1.0,,,-11.7789,-34.3423,-6.44715,-40.7894,6.35182,-67.7697
