replicate,rank,top-100,top-50,R2_k-100,R2_k-50
1,1,0.05,0.02,-0.0004978712856731349,0.06784157004305635
1,2,0.09,0.06,0.059418099427176796,0.0660727232297652
1,3,0.05,0.02,0.0743141267838765,0.06863238388238269
2,1,0.01,0.0,0.04803289132513178,0.02822264316018752
2,2,0.03,0.0,-0.20281343293245402,-0.2977108794959449
2,3,0.03,0.02,0.05372062228693175,-0.10922452944162675
3,1,0.06,0.02,0.001628712589836545,0.014988154176566626
3,2,0.04,0.0,-0.06728096737129774,-0.040668257123604334
3,3,0.04,0.02,0.06441930319258427,0.06337330601949254
4,1,0.02,0.02,-0.029291906903912146,-0.05060378668295584
4,2,0.03,0.02,0.021391179720242293,-0.02834680847274562
4,3,0.03,0.04,0.026637369270847255,0.055027740537165304
5,1,0.03,0.02,-0.23251977494536868,-0.19245368988613598
5,2,0.08,0.04,0.0908411557828962,0.12040531242215824
5,3,0.08,0.04,-0.04797158575636318,-0.003869722769570094
